Tab;SIGNAL NAME;TEST_VALERE;"PORT ADDRESS 
(in decimal)";"OFFSET 
(number of bits, in decimal)";SIZE ;"TYPE 
(integer, float, boolean)";"Signed/
Unsigned";Sender;Receiver;Description;Type;Test 6 mai 2021;Fait;Configuration V1;Type de message V1;Fréquence pour logger;Testé via;Valeur en permanence sur MVB;Valeurs furtives sur MVB
APS;APS_RIOM_COMMAND;;0xE20;0;8;BYTE;Unsigned8;orgmpu;riom4;Command :;;;;N;NA;;;;
APS;APS_CPerTCMSAlive;;0xE20;8;8;BYTE;Unsigned8;orgmpu;riom4;Counter incremented by TCMS application software at each cycle ;;;;N;NA;;;;
APS;APS_CPerSpare24;;0xE20;16;8;BYTE;Unsigned8;orgmpu;riom4;Spare;;;;N;NA;;;;
APS;APS_CPerSpare32;;0xE20;24;8;BYTE;Unsigned8;orgmpu;riom4;Spare;;;;N;NA;;;;
APS;APS_CPerTrainNumberLSB;;0xE20;32;8;BYTE;Unsigned8;orgmpu;riom4;Number of the train or unit (LSB);;;;N;NA;;;;
APS;APS_CPerTrainNumberMSB;;0xE20;40;8;BYTE;Unsigned8;orgmpu;riom4;Number of the train or unit (MSB);;;;N;NA;;;;
APS;APS_CPerSpare63;;0xE20;48;1;BOOL;Boolean1;orgmpu;riom4;Spare;;;;N;NA;;;;
APS;APS_CPerSpare62;;0xE20;49;1;BOOL;Boolean1;orgmpu;riom4;Spare;;;;N;NA;;;;
APS;APS_CPerSpare61;;0xE20;50;1;BOOL;Boolean1;orgmpu;riom4;Spare;;;;N;NA;;;;
APS;APS_CPerDirect2;;0xE20;51;1;BOOL;Boolean1;orgmpu;riom4;Driving direction 2;;;;N;NA;;;;
APS;APS_CPerDirect1;;0xE20;52;1;BOOL;Boolean1;orgmpu;riom4;Driving direction 1;;;;N;NA;;;;
APS;APS_CPerCab2InServ;;0xE20;53;1;BOOL;Boolean1;orgmpu;riom4;Cabin2 in service;;;;N;NA;;;;
APS;APS_CPerCab1InServ;;0xE20;54;1;BOOL;Boolean1;orgmpu;riom4;Cabin1 in service;;;;N;NA;;;;
APS;APS_CPerHvPres;;0xE20;55;1;BOOL;Boolean1;orgmpu;riom4;Presence High voltage;;;;A étudier;;;;;
APS;APS_CPerVhcSpeedLSB;;0xE20;56;8;BYTE;Unsigned8;orgmpu;riom4;Vehicle speed (LSB);;;;N;NA;;;;
APS;APS_CPerVhcSpeedMSB;;0xE20;64;8;BYTE;Unsigned8;orgmpu;riom4;Vehicle speed (MSB);;;;N;NA;;;;
APS;APS_CPerHvValueLSB;;0xE20;72;8;BYTE;Unsigned8;orgmpu;riom4;Tension HV (LSB);;;;A étudier;;;;;
APS;APS_CPerHvValueMSB;;0xE20;80;8;BYTE;Unsigned8;orgmpu;riom4;Tension HV (MSB);;;;A étudier;;;;;
APS;APS_CPerCurrentStat1;;0xE20;88;8;CHAR;Char8;orgmpu;riom4;Identifiant of the current station (LSB);;;;N;NA;;;;
APS;APS_CPerCurrentStat2;;0xE20;96;8;CHAR;Char8;orgmpu;riom4;Identifiant of the current station;;;;N;NA;;;;
APS;APS_CPerCurrentStat3;;0xE20;104;8;CHAR;Char8;orgmpu;riom4;Identifiant of the current station;;;;N;NA;;;;
APS;APS_CPerCurrentStat4;;0xE20;112;8;CHAR;Char8;orgmpu;riom4;Identifiant of the current station;;;;N;NA;;;;
APS;APS_CPerCurrentStat5;;0xE20;120;8;CHAR;Char8;orgmpu;riom4;Identifiant of the current station;;;;N;NA;;;;
APS;APS_CPerCurrentStat6;;0xE20;128;8;CHAR;Char8;orgmpu;riom4;Identifiant of the current station;;;;N;NA;;;;
APS;APS_CPerCurrentStat7;;0xE20;136;8;CHAR;Char8;orgmpu;riom4;Identifiant of the current station;;;;N;NA;;;;
APS;APS_CPerCurrentStat8;;0xE20;144;8;CHAR;Char8;orgmpu;riom4;Identifiant of the current station (MSB);;;;N;NA;;;;
APS;APS_CPerStrongSlope;;0xE20;152;1;BOOL;Boolean1;orgmpu;riom4;Strong slope information;;;;A étudier;;;;;
APS;APS_CPerNoSupplySection;;0xE20;153;1;BOOL;Boolean1;orgmpu;riom4;Not supplied section presence.;;;;A étudier;;;;;
APS;APS_CPerLocalTorqHigh;;0xE20;154;1;BOOL;Boolean1;orgmpu;riom4;Request traction;;;;N;NA;;;;
APS;APS_CPerStandStill;;0xE20;155;1;BOOL;Boolean1;orgmpu;riom4;Vehicle at standstill;;;;N;NA;;;;
APS;APS_CPerTorqReduceOK;;0xE20;156;1;BOOL;Boolean1;orgmpu;riom4;Reduced traction;;;;N;NA;;;;
APS;APS_CPerSafetyBrk;;0xE20;157;1;BOOL;Boolean1;orgmpu;riom4;Safety brake;;;;N;NA;;;;
APS;APS_CPerLocalTorqLow;;0xE20;158;1;BOOL;Boolean1;orgmpu;riom4;Train is braking;;;;N;NA;;;;
APS;APS_CPerOASFail;;0xE20;159;1;BOOL;Boolean1;orgmpu;riom4;OAS is fail;;;;N;NA;;;;
APS;APS_CPerSpare168;;0xE20;160;8;BYTE;Unsigned8;orgmpu;riom4;Spare;;;;N;NA;;;;
APS;APS_CPerSpare176;;0xE20;168;8;BYTE;Unsigned8;orgmpu;riom4;Spare;;;;N;NA;;;;
APS;APS_CPerSpare184;;0xE20;176;8;BYTE;Unsigned8;orgmpu;riom4;Spare;;;;N;NA;;;;
APS;APS_CPerSpare192;;0xE20;184;8;BYTE;Unsigned8;orgmpu;riom4;Spare;;;;N;NA;;;;
APS;APS_CPerSpare200;;0xE20;192;8;BYTE;Unsigned8;orgmpu;riom4;Spare;;;;N;NA;;;;
APS;APS_CPerSpare208;;0xE20;200;8;BYTE;Unsigned8;orgmpu;riom4;Spare;;;;N;NA;;;;
APS;APS_CPerSpare216;;0xE20;208;8;BYTE;Unsigned8;orgmpu;riom4;Spare;;;;N;NA;;;;
APS;APS_RIOM_STATUS;;0xE21;0;8;BYTE;Unsigned8;riom4;orgmpu;Status :;;;;N;NA;;;;
APS;APS_IPerDevIsAlive;;0xE21;8;8;BYTE;Unsigned8;riom4;orgmpu;Counter incremented by device application software at each cycle ;;;;N;NA;;;;
APS;APS_IPerChBattery;;0xE21;16;8;BYTE;Unsigned8;riom4;orgmpu;"Charged battery level ; 0-100 %";;;;A ajouter;;;;;
